"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"363",10,-13,27,0,7.73333069861887
"364",10,-13,28,0,8.03397201205599
"365",10,-13,29,0,8.16590965387465
"366",10,-13,30,0,7.84259530145656
"367",10,-12,-12,0,0
"368",10,-12,-11,0,0
"369",10,-12,-10,0,0
"370",10,-12,-9,0,0
"371",10,-12,-8,0,0
"372",10,-12,-7,0,0
"373",10,-12,-6,0,0
"374",10,-12,-5,0,0
"375",10,-12,-4,0,0
"376",10,-12,-3,0,0
"377",10,-12,-2,0,0
"378",10,-12,-1,0,0
"379",10,-12,0,0.000103316076734229,0
"380",10,-12,1,1.00165290329091,0
"381",10,-12,2,1.02440336316748,8.42204657625079e-07
"382",10,-12,3,1.06752071364021,0.00735060242611065
"383",10,-12,4,1.07433249326556,0.0392908923178626
"384",10,-12,5,1.08329793214829,0.104335016932802
"385",10,-12,6,1.08765310094214,0.206491187338877
"386",10,-12,7,1.09682416076777,0.348087349316306
"387",10,-12,8,1.09515306646613,0.529302074871665
"388",10,-12,9,1.08837267860111,0.750069648286598
"389",10,-12,10,0,1.0092449824299
"390",10,-12,11,0,1.30469860168784
"391",10,-12,12,0,1.63357936590332
"392",10,-12,13,0,1.99290246148467
"393",10,-12,14,0,2.37904066566009
"394",10,-12,15,0,2.78806288823594
"395",10,-12,16,0,3.21576750433054
"396",10,-12,17,0,3.65762127206195
"397",10,-12,18,0,4.1089355217472
"398",10,-12,19,0,4.56502725214557
"399",10,-12,20,0,5.02121113141631
"400",10,-12,21,0,5.47286481628045
"401",10,-12,22,0,5.91532476178855
"402",10,-12,23,0,6.34412072020967
"403",10,-12,24,0,6.75499312725827
"404",10,-12,25,0,7.14399682657116
"405",10,-12,26,0.0703052323007477,7.50758438957844
"406",10,-12,27,1.5141553716003e-11,7.84256366128464
"407",10,-12,28,0,8.14598222049844
"408",10,-12,29,0,8.27910527061508
"409",10,-12,30,0,7.94836026775511
"410",10,-11,-11,0,0
"411",10,-11,-10,0,0
"412",10,-11,-9,0,0
"413",10,-11,-8,0,0
"414",10,-11,-7,0,0
"415",10,-11,-6,0,0
"416",10,-11,-5,0,0
"417",10,-11,-4,0,0
"418",10,-11,-3,0,0
"419",10,-11,-2,0,0
"420",10,-11,-1,0,0
"421",10,-11,0,0.000101105305748249,0
"422",10,-11,1,1.00688068706625,0
"423",10,-11,2,1.02527352072923,8.42204657625079e-07
"424",10,-11,3,1.04485496392845,0.00761711883691314
"425",10,-11,4,1.08417151968517,0.040583215088175
"426",10,-11,5,1.04283857253452,0.107588237930485
"427",10,-11,6,1.09670702232123,0.21259146102172
"428",10,-11,7,1.09943398151661,0.357671821421697
"429",10,-11,8,1.08720394774405,0.543086728915038
"430",10,-11,9,0,0.768740036758411
"431",10,-11,10,0,1.03325278763477
"432",10,-11,11,0,1.33423586065689
"433",10,-11,12,0,1.66905650184519
"434",10,-11,13,0,2.03450252875981
"435",10,-11,14,0,2.426904109433
"436",10,-11,15,0,2.84229441573641
"437",10,-11,16,0,3.27629487371485
"438",10,-11,17,0,3.72431091136448
"439",10,-11,18,0,4.18169752155066
"440",10,-11,19,0,4.64375717173723
"441",10,-11,20,0,5.10573765116865
"442",10,-11,21,0,5.56283482024746
"443",10,-11,22,0,6.01037202392373
"444",10,-11,23,0,6.44385917405641
"445",10,-11,24,0,6.8591004359054
"446",10,-11,25,0,7.25224800514857
"447",10,-11,26,0.0897065915441977,7.61960148273665
"448",10,-11,27,0.00931648260811292,7.95779499523816
"449",10,-11,28,0,8.26387825556103
"450",10,-11,29,0,8.39794368470337
"451",10,-11,30,0,8.0599618435917
"452",10,-10,-10,0,0
"453",10,-10,-9,0,0
"454",10,-10,-8,0,0
"455",10,-10,-7,0,0
"456",10,-10,-6,0,0
"457",10,-10,-5,0,0
"458",10,-10,-4,0,0
"459",10,-10,-3,0,0
"460",10,-10,-2,0,0
"461",10,-10,-1,0,0
"462",10,-10,0,9.89994458430237e-05,0
"463",10,-10,1,1.023476438013,0
"464",10,-10,2,1.03334530412095,8.42204657625079e-07
"465",10,-10,3,1.06240447675217,0.00791050926405274
"466",10,-10,4,1.08693412064065,0.0420398142938809
"467",10,-10,5,1.09527807015718,0.111153395721803
"468",10,-10,6,1.09785708449831,0.219247284792459
"469",10,-10,7,1.10016329166351,0.368027701059835
"470",10,-10,8,1.09786586895292,0.558050740614072
"471",10,-10,9,0,0.788924350079856
"472",10,-10,10,0,1.05898170020259
"473",10,-10,11,0,1.36591395337983
"474",10,-10,12,0,1.70701020647997
"475",10,-10,13,0,2.07892669335262
"476",10,-10,14,0,2.47798440542403
"477",10,-10,15,0,2.90001900123023
"478",10,-10,16,0,3.34058757530026
"479",10,-10,17,0,3.79513733486404
"480",10,-10,18,0,4.25901197460017
"481",10,-10,19,0,4.7273719302627
"482",10,-10,20,0,5.19532818367989
"483",10,-10,21,0,5.65805122003746
"484",10,-10,22,0,6.1108815818775
"485",10,-10,23,0,6.54944174388692
"486",10,-10,24,0,6.96946355529334
"487",10,-10,25,0,7.36686454858515
"488",10,-10,26,0,7.73790489606883
"489",10,-10,27,0.0272822599506112,8.07926044531678
"490",10,-10,28,0,8.38805891811307
"491",10,-10,29,0,8.52322052430814
"492",10,-10,30,0,8.17869287572643
"493",10,-9,-9,0,0
"494",10,-9,-8,0,0
"495",10,-9,-7,0,0
"496",10,-9,-6,0,0
"497",10,-9,-5,0,0
"498",10,-9,-4,0,0
"499",10,-9,-3,0,0
"500",10,-9,-2,0,0
"501",10,-9,-1,0,0
"502",10,-9,0,9.70967780066861e-05,0
"503",10,-9,1,1.03228452072083,0
"504",10,-9,2,1.07691877671966,8.42204657625079e-07
"505",10,-9,3,1.04409793611397,0.00823489610550316
"506",10,-9,4,1.07007059067574,0.0436825766928793
"507",10,-9,5,1.09851291211939,0.115109673292565
"508",10,-9,6,1.10167026130047,0.22651870217591
"509",10,-9,7,1.09783729850283,0.379372041960991
"510",10,-9,8,1.09979870596323,0.574363766448482
"511",10,-9,9,0,0.810763416771935
"512",10,-9,10,0,1.08671234817249
"513",10,-9,11,0,1.40002392343319
"514",10,-9,12,0,1.74776550340732
"515",10,-9,13,0,2.1265982664977
"516",10,-9,14,0,2.53263249354057
"517",10,-9,15,0,2.96163504315487
"518",10,-9,16,0,3.40920339645583
"519",10,-9,17,0,3.87076048711861
"520",10,-9,18,0,4.34144580647861
"521",10,-9,19,0,4.81632882594405
"522",10,-9,20,0,5.29049854135828
"523",10,-9,21,0,5.75920949629718
"524",10,-9,22,0,6.2178241726564
"525",10,-9,23,0,6.66171649741143
"526",10,-9,24,0,7.08650324469233
"527",10,-9,25,0,7.48813579314034
"528",10,-9,26,0,7.86296464824068
"529",10,-9,27,0.060830149193617,8.20787032356929
"530",10,-9,28,0,8.51994276536812
"531",10,-9,29,0,8.65635681523591
"532",10,-9,30,0,8.30549119641458
"533",10,-8,-8,0,0
"534",10,-8,-7,0,0
"535",10,-8,-6,0,0
"536",10,-8,-5,0,0
"537",10,-8,-4,0,0
"538",10,-8,-3,0,0
"539",10,-8,-2,0,0
"540",10,-8,-1,0,0
"541",10,-8,0,9.55460998927733e-05,0
"542",10,-8,1,1.04436160448577,0
"543",10,-8,2,1.08165849993909,8.42204657625079e-07
"544",10,-8,3,1.04615805809952,0.00859686983979327
"545",10,-8,4,1.01052504429892,0.0455278220609655
"546",10,-8,5,1.1016704649321,0.119534570843324
"547",10,-8,6,1.08621382856116,0.234483462185649
"548",10,-8,7,1.09879804780852,0.391880350757853
"549",10,-8,8,1.09855719250901,0.592233809497858
"550",10,-8,9,0,0.834446700547091
"551",10,-8,10,0,1.11680479883905
"552",10,-8,11,0,1.43689943268031
"553",10,-8,12,0,1.79178513265823
"554",10,-8,13,0,2.17790823511074
"555",10,-8,14,0,2.59130364540558
"556",10,-8,15,0,3.02778038269582
"557",10,-8,16,0,3.48286661537465
"558",10,-8,17,0,3.95175868121957
"559",10,-8,18,0,4.42953532613577
"560",10,-8,19,0,4.91129039972408
"561",10,-8,20,0,5.39220479299007
"562",10,-8,21,0,5.86732885452682
"563",10,-8,22,0,6.33181573613487
"564",10,-8,23,0,6.78105619329672
"565",10,-8,24,0,7.21077488772323
"566",10,-8,25,0,7.61710716400253
"567",10,-8,26,0,7.99632427540319
"568",10,-8,27,0.0430494852421025,8.34509238030406
"569",10,-8,28,0,8.66048518550843
"570",10,-8,29,0,8.79797412797611
"571",10,-8,30,0,8.44095634665594
"572",10,-7,-7,0,0
"573",10,-7,-6,0,0
"574",10,-7,-5,0,0
"575",10,-7,-4,0,0
"576",10,-7,-3,0,0
"577",10,-7,-2,0,0
"578",10,-7,-1,0,0
"579",10,-7,0,9.45747979206584e-05,0
"580",10,-7,1,1.04230067926853,0
"581",10,-7,2,1.0584514042559,8.42204657625079e-07
"582",10,-7,3,1.02629033945797,0.00900522661880247
"583",10,-7,4,1.08945012175341,0.0475955290108643
"584",10,-7,5,1.10419344410174,0.124501918664642
"585",10,-7,6,1.09745479013701,0.243336667422855
"586",10,-7,7,1.09287062015411,0.405754979049339
"587",10,-7,8,1.10224643438346,0.611828763117616
